Дата,T
2018-01-04,-20.7
2018-01-04,-17.2
2018-01-04,-14.5
2018-01-04,-9.6
2018-01-04,-12.3
2018-01-04,-12.6
2018-01-04,-12.3
2018-01-04,-13.4
2018-01-05,-17.6
2018-01-05,-16.1
2018-01-05,-15.2
2018-01-05,-12.5
2018-01-05,-11.8
2018-01-05,-22.7
2018-01-05,-21.9
2018-01-05,-17.1
2018-01-06,-11
2018-01-06,-14
2018-01-06,-12.3
2018-01-06,-7.5
2018-01-06,-9.5
2018-01-06,-19.1
2018-01-06,-15.9
2018-01-06,-17.1
2018-01-07,-14.3
2018-01-07,-11.8
2018-01-07,-12
2018-01-07,-9.9
2018-01-07,-12.4
2018-01-07,-14.9
2018-01-07,-14.3
2018-01-07,-12.4
2018-01-08,-14.1
2018-01-08,-17.2
2018-01-08,-15.4
2018-01-08,-14.2
2018-01-08,-14.1
2018-01-08,-16.9
2018-01-08,-17
2018-01-08,-14.4
2018-01-09,-5
2018-01-09,-5.4
2018-01-09,-5.5
2018-01-09,-5.5
2018-01-09,-5.7
2018-01-09,-6.5
2018-01-09,-7.5
2018-01-09,-8.9
2018-01-10,0
2018-01-10,-0.6
2018-01-10,-0.5
2018-01-10,-1
2018-01-10,-1.5
2018-01-10,-2.1
2018-01-10,-2.7
2018-01-10,-3.5
2018-01-11,-12.1
2018-01-11,-12
2018-01-11,-12.2
2018-01-11,-11.9
2018-01-11,-10.5
2018-01-11,-8.7
2018-01-11,-8.1
2018-01-11,-0.3
2018-01-12,-19.7
2018-01-12,-18.4
2018-01-12,-16.1
2018-01-12,-14.6
2018-01-12,-13
2018-01-12,-12.6
2018-01-12,-12.8
2018-01-12,-12.6
2018-01-13,-27.5
2018-01-13,-26.3
2018-01-13,-24.5
2018-01-13,-22.5
2018-01-13,-22.6
2018-01-13,-24.7
2018-01-13,-22.4
2018-01-13,-21.2
2018-01-14,-23.7
2018-01-14,-24
2018-01-14,-23.8
2018-01-14,-22.7
2018-01-14,-24.9
2018-01-14,-22.7
2018-01-14,-28.9
2018-01-14,-28.9
2018-01-15,-24.7
2018-01-15,-23.6
2018-01-15,-21.9
2018-01-15,-20.6
2018-01-15,-20.4
2018-01-15,-22.8
2018-01-15,-23.4
2018-01-15,-23.8
2018-01-16,-21.4
2018-01-16,-20.8
2018-01-16,-20.6
2018-01-16,-18.9
2018-01-16,-21
2018-01-16,-23.1
2018-01-16,-22.1
2018-01-16,-23.1
2018-01-17,-21.3
2018-01-17,-21.1
2018-01-17,-19.5
2018-01-17,-15.5
2018-01-17,-15.3
2018-01-17,-18.7
2018-01-17,-19.2
2018-01-17,-20.6
2018-01-18,-17.6
2018-01-18,-17.8
2018-01-18,-15.3
2018-01-18,-14.2
2018-01-18,-19.1
2018-01-18,-22.6
2018-01-18,-21.7
2018-01-18,-20.7
2018-01-19,-21
2018-01-19,-20.6
2018-01-19,-17.2
2018-01-19,-8.8
2018-01-19,-11.8
2018-01-19,-19.8
2018-01-19,-20.6
2018-01-19,-20
2018-01-20,-21.6
2018-01-20,-19.9
2018-01-20,-19
2018-01-20,-17.8
2018-01-20,-19.8
2018-01-20,-24.6
2018-01-20,-23.6
2018-01-20,-23.5
2018-01-21,-29.4
2018-01-21,-26.5
2018-01-21,-22.5
2018-01-21,-19.5
2018-01-21,-19.9
2018-01-21,-24.5
2018-01-21,-22.6
2018-01-21,-22.6
2018-01-22,-37.7
2018-01-22,-36.8
2018-01-22,-35.1
2018-01-22,-32.4
2018-01-22,-33.9
2018-01-22,-35.7
2018-01-22,-34.4
2018-01-22,-31.3
2018-01-23,-32.6
2018-01-23,-30.3
2018-01-23,-30.3
2018-01-23,-28.6
2018-01-23,-31.8
2018-01-23,-37.5
2018-01-23,-37.5
2018-01-23,-37.2
2018-01-24,-31.1
2018-01-24,-29.3
2018-01-24,-28.3
2018-01-24,-25.8
2018-01-24,-28.2
2018-01-24,-30
2018-01-24,-32.6
2018-01-24,-33.4
2018-01-25,-32.4
2018-01-25,-30.7
2018-01-25,-29.9
2018-01-25,-28.4
2018-01-25,-29.8
2018-01-25,-32.7
2018-01-25,-34.1
2018-01-25,-33.6
2018-01-26,-29.2
2018-01-26,-27.4
2018-01-26,-26.1
2018-01-26,-26.9
2018-01-26,-29.2
2018-01-26,-33.5
2018-01-26,-33.5
2018-01-26,-32.9
2018-01-27,-26.1
2018-01-27,-24.9
2018-01-27,-23.8
2018-01-27,-22.5
2018-01-27,-25.8
2018-01-27,-28.9
2018-01-27,-29.9
2018-01-27,-29.9
2018-01-28,-23.2
2018-01-28,-24.1
2018-01-28,-23
2018-01-28,-21.2
2018-01-28,-24.5
2018-01-28,-28
2018-01-28,-28.5
2018-01-28,-27.7
2018-01-29,-22.5
2018-01-29,-20.8
2018-01-29,-18.4
2018-01-29,-15.7
2018-01-29,-20.2
2018-01-29,-23.4
2018-01-29,-23.5
2018-01-29,-23.3
2018-01-30,-20
2018-01-30,-20.7
2018-01-30,-17.8
2018-01-30,-13.2
2018-01-30,-19.8
2018-01-30,-25.4
2018-01-30,-25.5
2018-01-30,-24.2
2018-01-31,-14.8
2018-01-31,-10.5
2018-01-31,-9.4
2018-01-31,-8.2
2018-01-31,-9.4
2018-01-31,-18.7
2018-01-31,-15.8
2018-01-31,-18.9
2018-02-01,-15.6
2018-02-01,-15.5
2018-02-01,-16
2018-02-01,-15.5
2018-02-01,-18.3
2018-02-01,-20.1
2018-02-01,-19.1
2018-02-01,-15.1
2018-02-02,-13.2
2018-02-02,-10.5
2018-02-02,-10.6
2018-02-02,-10.2
2018-02-02,-12.6
2018-02-02,-16.1
2018-02-02,-17.9
2018-02-02,-16.9
2018-02-03,-14.4
2018-02-03,-11.9
2018-02-03,-9.2
2018-02-03,-7.8
2018-02-03,-7.5
2018-02-03,-13.3
2018-02-03,-13.4
2018-02-03,-13.8
2018-02-04,-12.3
2018-02-04,-14.2
2018-02-04,-9.7
2018-02-04,-9.6
2018-02-04,-12
2018-02-04,-15.8
2018-02-04,-14.5
2018-02-04,-14.4
2018-02-05,-16.7
2018-02-05,-14.6
2018-02-05,-14.1
2018-02-05,-8.9
2018-02-05,-13
2018-02-05,-13.7
2018-02-05,-17.3
2018-02-05,-16.8
2018-02-06,-18
2018-02-06,-15.1
2018-02-06,-16.3
2018-02-06,-12
2018-02-06,-16.4
2018-02-06,-19.1
2018-02-06,-18.3
2018-02-06,-18.7
2018-02-07,-15.1
2018-02-07,-12.7
2018-02-07,-13
2018-02-07,-10.3
2018-02-07,-12.4
2018-02-07,-16.8
2018-02-07,-18.2
2018-02-07,-19.1
2018-02-08,-12.8
2018-02-08,-12.4
2018-02-08,-11.4
2018-02-08,-10.9
2018-02-08,-16.3
2018-02-08,-18.8
2018-02-08,-19.5
2018-02-08,-17.1
2018-02-09,-13.4
2018-02-09,-11.8
2018-02-09,-8.8
2018-02-09,-7.6
2018-02-09,-8.9
2018-02-09,-14.1
2018-02-09,-15.3
2018-02-09,-14.2
2018-02-10,-19.4
2018-02-10,-17.7
2018-02-10,-13.2
2018-02-10,-10.1
2018-02-10,-11.6
2018-02-10,-16.8
2018-02-10,-17.9
2018-02-10,-16.3
2018-02-11,-13.9
2018-02-11,-13.9
2018-02-11,-13.8
2018-02-11,-10.9
2018-02-11,-15
2018-02-11,-20.5
2018-02-11,-19.1
2018-02-11,-19.8
2018-02-12,-14.8
2018-02-12,-12.9
2018-02-12,-10.6
2018-02-12,-10.6
2018-02-12,-13.8
2018-02-12,-16
2018-02-12,-14.4
2018-02-12,-14.2
2018-02-13,-14
2018-02-13,-10.1
2018-02-13,-9.3
2018-02-13,-7.9
2018-02-13,-11.3
2018-02-13,-19.1
2018-02-13,-16.3
2018-02-13,-14
2018-02-14,-20.4
2018-02-14,-22.1
2018-02-14,-20
2018-02-14,-18.4
2018-02-14,-22.3
2018-02-14,-23.6
2018-02-14,-16.2
2018-02-14,-13.1
2018-02-15,-18.8
2018-02-15,-17.6
2018-02-15,-17.2
2018-02-15,-16.9
2018-02-15,-20
2018-02-15,-22.6
2018-02-15,-21.8
2018-02-15,-21.7
2018-02-16,-17.9
2018-02-16,-19.4
2018-02-16,-17
2018-02-16,-15.7
2018-02-16,-19.7
2018-02-16,-23.9
2018-02-16,-21.4
2018-02-16,-22.5
2018-02-17,-19.8
2018-02-17,-18.1
2018-02-17,-14.3
2018-02-17,-12.7
2018-02-17,-15.6
2018-02-17,-18.8
2018-02-17,-18.7
2018-02-17,-17.3
2018-02-18,-22
2018-02-18,-20
2018-02-18,-16.1
2018-02-18,-14.1
2018-02-18,-17.6
2018-02-18,-22.4
2018-02-18,-21.5
2018-02-18,-21.8
2018-02-19,-15.1
2018-02-19,-16.3
2018-02-19,-12.4
2018-02-19,-12.5
2018-02-19,-16.5
2018-02-19,-22.3
2018-02-19,-22.6
2018-02-19,-22.6
2018-02-20,-6.9
2018-02-20,-7.3
2018-02-20,-6.7
2018-02-20,-6.9
2018-02-20,-11.4
2018-02-20,-14.9
2018-02-20,-17.3
2018-02-20,-15.7
2018-02-21,-8
2018-02-21,-4.9
2018-02-21,-4.3
2018-02-21,-3.9
2018-02-21,-3.3
2018-02-21,-5.1
2018-02-21,-5.5
2018-02-21,-7.5
2018-02-22,-14.8
2018-02-22,-13.3
2018-02-22,-10.8
2018-02-22,-9.9
2018-02-22,-11.7
2018-02-22,-16.4
2018-02-22,-13.3
